Year,AP Computer Science Exams Taken (% of Total Responding Students),Label
2007,0.04042058543802177,Other
2008,0.038390284067517495,Other
2009,0.03640812331783704,Other
2010,0.03528656971770744,Other
2011,0.03392301710730949,Other
2012,0.03297207169654023,Other
2013,0.03687234915857163,Other
2014,0.04101065844289347,Other
2015,0.036673792784254956,Other
2016,0.0015499243711602024,Other
2017,0.0002650113649104567,Other
2018,3.141640879031118e-05,Other
2019,,Other
2020,,Other
2021,1.1509466536226046e-05,Other
2007,,Native Hawaiian/Pacific Islander
2008,,Native Hawaiian/Pacific Islander
2009,,Native Hawaiian/Pacific Islander
2010,,Native Hawaiian/Pacific Islander
2011,,Native Hawaiian/Pacific Islander
2012,,Native Hawaiian/Pacific Islander
2013,,Native Hawaiian/Pacific Islander
2014,,Native Hawaiian/Pacific Islander
2015,,Native Hawaiian/Pacific Islander
2016,0.001325838919908125,Native Hawaiian/Pacific Islander
2017,0.001457562507007512,Native Hawaiian/Pacific Islander
2018,0.001500133519737359,Native Hawaiian/Pacific Islander
2019,0.0013905866982297508,Native Hawaiian/Pacific Islander
2020,0.001466301357058985,Native Hawaiian/Pacific Islander
2021,0.0014617022501007078,Native Hawaiian/Pacific Islander
2007,0.0035401035612385077,Native American/Alaskan
2008,0.003139151914368053,Native American/Alaskan
2009,0.003621238071935405,Native American/Alaskan
2010,0.0035286569717707444,Native American/Alaskan
2011,0.003256220839813375,Native American/Alaskan
2012,0.0032096706961233846,Native American/Alaskan
2013,0.004309755096456424,Native American/Alaskan
2014,0.0035437970026510847,Native American/Alaskan
2015,0.004055275163643577,Native American/Alaskan
2016,0.0016432933091819013,Native American/Alaskan
2017,0.001977392492024177,Native American/Alaskan
2018,0.002112753491148427,Native American/Alaskan
2019,0.0022831493231400095,Native American/Alaskan
2020,0.00480783273649221,Native American/Alaskan
2021,0.006174828796685274,Native American/Alaskan
2007,,Two or More Races
2008,,Two or More Races
2009,,Two or More Races
2010,,Two or More Races
2011,,Two or More Races
2012,,Two or More Races
2013,,Two or More Races
2014,,Two or More Races
2015,,Two or More Races
2016,0.045097197064480586,Two or More Races
2017,0.04584696612950902,Two or More Races
2018,0.046645512951414524,Two or More Races
2019,0.04677545582138399,Two or More Races
2020,0.05039169524299125,Two or More Races
2021,0.049225988375438796,Two or More Races
2007,0.0378843918419106,Black/African American
2008,0.040345821325648415,Black/African American
2009,0.04433569855639834,Black/African American
2010,0.044108212147134306,Black/African American
2011,0.04340007776049767,Black/African American
2012,0.04226761150479366,Black/African American
2013,0.03728280202490081,Black/African American
2014,0.039739219823621705,Black/African American
2015,0.039318537456196415,Black/African American
2016,0.03785176747399675,Black/African American
2017,0.05163644517832207,Black/African American
2018,0.05741348706429368,Black/African American
2019,0.0587280335810518,Black/African American
2020,0.059370600365699064,Black/African American
2021,0.06320423548368533,Black/African American
2007,0.0669977808306034,Hispanic/Latino/Latina
2008,0.06947303417044051,Hispanic/Latino/Latina
2009,0.07017372155615366,Hispanic/Latino/Latina
2010,0.07837895637296835,Hispanic/Latino/Latina
2011,0.08514774494556765,Hispanic/Latino/Latina
2012,0.07999166319299708,Hispanic/Latino/Latina
2013,0.08236420851005609,Hispanic/Latino/Latina
2014,0.08845966563869502,Hispanic/Latino/Latina
2015,0.09415291032111608,Hispanic/Latino/Latina
2016,0.11682321525274972,Hispanic/Latino/Latina
2017,0.1505468407587479,Hispanic/Latino/Latina
2018,0.16325536827885204,Hispanic/Latino/Latina
2019,0.1702918938497261,Hispanic/Latino/Latina
2020,0.16478656844589581,Hispanic/Latino/Latina
2021,0.16475801346607585,Hispanic/Latino/Latina
2007,0.24358025995984361,Asian 
2008,0.2564841498559078,Asian 
2009,0.2699290433080499,Asian 
2010,0.27432634730538924,Asian 
2011,0.2874222395023328,Asian 
2012,0.28632763651521465,Asian 
2013,0.28988233684498566,Asian 
2014,0.2991938538116107,Asian 
2015,0.29804068498887004,Asian 
2016,0.29715598214785904,Asian 
2017,0.2714837578611544,Asian 
2018,0.2707151945461114,Asian 
2019,0.26844791120942235,Asian 
2020,0.27222965433844104,Asian 
2021,0.2877539276054555,Asian 
2007,0.6075768783683821,White 
2008,0.5921675586661177,White 
2009,0.5755321751896256,White 
2010,0.5643712574850299,White 
2011,0.546850699844479,White 
2012,0.5552313463943309,White 
2013,0.5492885483650294,White 
2014,0.528052805280528,White 
2015,0.527758799285919,White 
2016,0.4985527814606637,White 
2017,0.4767860237083244,White 
2018,0.4583261337396522,White 
2019,0.452082969517046,White 
2020,0.44694734751342163,White 
2021,0.42740979455602235,White 
